course_name,platform,category,career_domain,skills_required,tags,difficulty,duration,rating,description
Cloud Security Essentials,Udacity,Cybersecurity,Security Analyst,"Network Security, Python, Cryptography, Linux","ethical hacking, network security, cybersecurity, penetration testing, beginner",Beginner,3 weeks,4.4,"Learn Network Security, Python, Cryptography, Linux through practical projects in this beginner Cybersecurity course."
Cloud Security Essentials - Part 2,Udemy,Cybersecurity,Security Analyst,"Network Security, SIEM, Cryptography, Ethical Hacking","cybersecurity, penetration testing, network security, ethical hacking, intermediate",Intermediate,60 hours,4.2,"This course builds real-world Cybersecurity skills including Network Security, SIEM, Cryptography, Ethical Hacking, ideal for aspiring Security Analysts."
Flutter and Dart Complete Course,Pluralsight,Mobile Development,Mobile App Developer,"Firebase, React Native, Swift, Kotlin","android, flutter, ios, mobile development, beginner",Beginner,8 weeks,4.4,"This course builds real-world Mobile Development skills including Firebase, React Native, Swift, Kotlin, ideal for aspiring Mobile App Developers."
Flutter and Dart Complete Course - Part 2,Coursera,Mobile Development,Mobile App Developer,"Firebase, Kotlin, Dart, Swift","flutter, android, app development, mobile development, intermediate",Intermediate,60 hours,4.3,"Learn Firebase, Kotlin, Dart, Swift through practical projects in this intermediate Mobile Development course."
Android Development with Kotlin,edX,Mobile Development,Mobile App Developer,"Flutter, Swift, Kotlin, Firebase","mobile development, flutter, app development, ios, intermediate",Intermediate,2 weeks,4.9,"A project-based intermediate course teaching Flutter, Swift, Kotlin, Firebase with real industry use cases."
Android Development with Kotlin - Part 2,edX,Mobile Development,Mobile App Developer,"Dart, Firebase, React Native, Flutter","app development, android, ios, mobile development, advanced",Advanced,4 weeks,4.0,"Hands-on Mobile Development training focused on Dart, Firebase, React Native, Flutter, designed for advanced learners."
iOS Development with Swift,LinkedIn Learning,Mobile Development,Mobile App Developer,"Flutter, Kotlin, Dart, Firebase","app development, ios, mobile development, flutter, advanced",Advanced,10 weeks,3.8,"A advanced level course covering Flutter, Kotlin, Dart, Firebase for learners aiming to become a Mobile App Developer."
iOS Development with Swift - Part 2,Udemy,Mobile Development,Mobile App Developer,"React Native, Kotlin, Flutter, Swift","ios, mobile development, flutter, android, beginner",Beginner,3 weeks,3.7,"A project-based beginner course teaching React Native, Kotlin, Flutter, Swift with real industry use cases."
React Native for Beginners,Udacity,Mobile Development,Mobile App Developer,"Swift, Kotlin, Flutter, Dart","app development, android, ios, mobile development, beginner",Beginner,60 hours,4.0,"A project-based beginner course teaching Swift, Kotlin, Flutter, Dart with real industry use cases."
React Native for Beginners - Part 2,Coursera,Mobile Development,Mobile App Developer,"Flutter, Swift, React Native, Dart","mobile development, flutter, ios, android, intermediate",Intermediate,10 weeks,4.8,"A intermediate level course covering Flutter, Swift, React Native, Dart for learners aiming to become a Mobile App Developer."
Cross Platform App Development,LinkedIn Learning,Mobile Development,Mobile App Developer,"Dart, Flutter, Firebase, Swift","app development, ios, android, flutter, intermediate",Intermediate,12 weeks,4.3,"This course builds real-world Mobile Development skills including Dart, Flutter, Firebase, Swift, ideal for aspiring Mobile App Developers."
Cross Platform App Development - Part 2,Coursera,Mobile Development,Mobile App Developer,"Firebase, Flutter, Dart, Swift","flutter, android, app development, ios, advanced",Advanced,3 weeks,4.1,"This course builds real-world Mobile Development skills including Firebase, Flutter, Dart, Swift, ideal for aspiring Mobile App Developers."
Firebase for Mobile Apps,edX,Mobile Development,Mobile App Developer,"Swift, Kotlin, React Native, Dart","android, flutter, mobile development, ios, advanced",Advanced,3 weeks,3.7,"A advanced level course covering Swift, Kotlin, React Native, Dart for learners aiming to become a Mobile App Developer."
Firebase for Mobile Apps - Part 2,Pluralsight,Mobile Development,Mobile App Developer,"Firebase, Kotlin, Dart, React Native","mobile development, ios, flutter, app development, beginner",Beginner,60 hours,4.1,"This course builds real-world Mobile Development skills including Firebase, Kotlin, Dart, React Native, ideal for aspiring Mobile App Developers."
Building Your First Mobile App,Udacity,Mobile Development,Mobile App Developer,"Firebase, Flutter, Kotlin, Swift","ios, app development, mobile development, flutter, beginner",Beginner,6 weeks,4.5,"Hands-on Mobile Development training focused on Firebase, Flutter, Kotlin, Swift, designed for beginner learners."
Building Your First Mobile App - Part 2,Coursera,Mobile Development,Mobile App Developer,"Kotlin, React Native, Firebase, Flutter","ios, android, flutter, mobile development, intermediate",Intermediate,8 weeks,4.8,"A project-based intermediate course teaching Kotlin, React Native, Firebase, Flutter with real industry use cases."
Advanced Android Development,Coursera,Mobile Development,Mobile App Developer,"Dart, Kotlin, React Native, Firebase","ios, mobile development, flutter, app development, intermediate",Intermediate,3 weeks,4.5,"A project-based intermediate course teaching Dart, Kotlin, React Native, Firebase with real industry use cases."
Advanced Android Development - Part 2,Udemy,Mobile Development,Mobile App Developer,"Firebase, Flutter, React Native, Kotlin","app development, android, flutter, ios, advanced",Advanced,10 weeks,4.0,"This course builds real-world Mobile Development skills including Firebase, Flutter, React Native, Kotlin, ideal for aspiring Mobile App Developers."
Mobile UI/UX Design Principles,edX,Mobile Development,Mobile App Developer,"Firebase, Kotlin, Flutter, Swift","android, app development, ios, mobile development, advanced",Advanced,60 hours,4.0,"A advanced level course covering Firebase, Kotlin, Flutter, Swift for learners aiming to become a Mobile App Developer."
Mobile UI/UX Design Principles - Part 2,Udacity,Mobile Development,Mobile App Developer,"Swift, React Native, Firebase, Dart","ios, android, app development, mobile development, beginner",Beginner,8 weeks,4.2,"Learn Swift, React Native, Firebase, Dart through practical projects in this beginner Mobile Development course."
App Store Deployment Guide,Pluralsight,Mobile Development,Mobile App Developer,"Firebase, React Native, Swift, Kotlin","ios, mobile development, flutter, android, beginner",Beginner,6 weeks,3.7,"A project-based beginner course teaching Firebase, React Native, Swift, Kotlin with real industry use cases."
App Store Deployment Guide - Part 2,edX,Mobile Development,Mobile App Developer,"Dart, Firebase, Kotlin, React Native","ios, mobile development, flutter, android, intermediate",Intermediate,12 weeks,3.8,"This course builds real-world Mobile Development skills including Dart, Firebase, Kotlin, React Native, ideal for aspiring Mobile App Developers."
UI/UX Design Fundamentals,LinkedIn Learning,UI/UX Design,UI/UX Designer,"Design Systems, Adobe XD, Wireframing, Figma","product design, ui design, ux design, prototyping, beginner",Beginner,10 weeks,4.8,"This course builds real-world UI/UX Design skills including Design Systems, Adobe XD, Wireframing, Figma, ideal for aspiring UI/UX Designers."
UI/UX Design Fundamentals - Part 2,LinkedIn Learning,UI/UX Design,UI/UX Designer,"User Research, Prototyping, Design Systems, Wireframing","product design, figma, ui design, ux design, intermediate",Intermediate,4 weeks,4.9,"A intermediate level course covering User Research, Prototyping, Design Systems, Wireframing for learners aiming to become a UI/UX Designer."
Figma for Beginners,LinkedIn Learning,UI/UX Design,UI/UX Designer,"User Research, Wireframing, Figma, Adobe XD","ui design, ux design, product design, figma, intermediate",Intermediate,8 weeks,3.7,"A project-based intermediate course teaching User Research, Wireframing, Figma, Adobe XD with real industry use cases."
Figma for Beginners - Part 2,Pluralsight,UI/UX Design,UI/UX Designer,"Wireframing, Adobe XD, Design Systems, Figma","ui design, prototyping, figma, product design, advanced",Advanced,60 hours,4.1,"Learn Wireframing, Adobe XD, Design Systems, Figma through practical projects in this advanced UI/UX Design course."
User Research and Testing,Udemy,UI/UX Design,UI/UX Designer,"Adobe XD, Figma, Design Systems, User Research","ux design, prototyping, figma, ui design, advanced",Advanced,60 hours,3.8,"A advanced level course covering Adobe XD, Figma, Design Systems, User Research for learners aiming to become a UI/UX Designer."
User Research and Testing - Part 2,Udacity,UI/UX Design,UI/UX Designer,"User Research, Prototyping, Design Systems, Wireframing","prototyping, figma, product design, ux design, beginner",Beginner,20 hours,4.2,"Hands-on UI/UX Design training focused on User Research, Prototyping, Design Systems, Wireframing, designed for beginner learners."
Design Systems Masterclass,Udacity,UI/UX Design,UI/UX Designer,"Design Systems, Wireframing, Prototyping, User Research","ui design, figma, product design, prototyping, beginner",Beginner,2 weeks,4.2,"Learn Design Systems, Wireframing, Prototyping, User Research through practical projects in this beginner UI/UX Design course."
Design Systems Masterclass - Part 2,Coursera,UI/UX Design,UI/UX Designer,"Wireframing, Design Systems, Figma, Prototyping","ui design, product design, ux design, prototyping, intermediate",Intermediate,40 hours,4.8,"This course builds real-world UI/UX Design skills including Wireframing, Design Systems, Figma, Prototyping, ideal for aspiring UI/UX Designers."
Adobe XD Complete Guide,Pluralsight,UI/UX Design,UI/UX Designer,"Adobe XD, Wireframing, User Research, Prototyping","ux design, ui design, prototyping, product design, intermediate",Intermediate,3 weeks,4.9,"Learn Adobe XD, Wireframing, User Research, Prototyping through practical projects in this intermediate UI/UX Design course."
Adobe XD Complete Guide - Part 2,LinkedIn Learning,UI/UX Design,UI/UX Designer,"Design Systems, Adobe XD, Figma, User Research","product design, prototyping, figma, ui design, advanced",Advanced,8 weeks,4.1,"Learn Design Systems, Adobe XD, Figma, User Research through practical projects in this advanced UI/UX Design course."
Prototyping and Wireframing,Udacity,UI/UX Design,UI/UX Designer,"User Research, Wireframing, Figma, Prototyping","figma, ui design, ux design, product design, advanced",Advanced,8 weeks,4.5,"A project-based advanced course teaching User Research, Wireframing, Figma, Prototyping with real industry use cases."
Prototyping and Wireframing - Part 2,edX,UI/UX Design,UI/UX Designer,"Design Systems, Prototyping, Adobe XD, User Research","ui design, ux design, product design, figma, beginner",Beginner,3 weeks,3.8,"This course builds real-world UI/UX Design skills including Design Systems, Prototyping, Adobe XD, User Research, ideal for aspiring UI/UX Designers."
Mobile App Design Principles,edX,UI/UX Design,UI/UX Designer,"Prototyping, User Research, Wireframing, Figma","prototyping, ui design, figma, ux design, beginner",Beginner,10 weeks,4.1,"A project-based beginner course teaching Prototyping, User Research, Wireframing, Figma with real industry use cases."
Mobile App Design Principles - Part 2,edX,UI/UX Design,UI/UX Designer,"Adobe XD, Design Systems, Wireframing, Prototyping","ux design, prototyping, ui design, figma, intermediate",Intermediate,3 weeks,4.0,"A intermediate level course covering Adobe XD, Design Systems, Wireframing, Prototyping for learners aiming to become a UI/UX Designer."
Design Thinking Bootcamp,LinkedIn Learning,UI/UX Design,UI/UX Designer,"Prototyping, Design Systems, Figma, Wireframing","figma, ux design, prototyping, product design, intermediate",Intermediate,40 hours,3.8,"Hands-on UI/UX Design training focused on Prototyping, Design Systems, Figma, Wireframing, designed for intermediate learners."
Design Thinking Bootcamp - Part 2,Udemy,UI/UX Design,UI/UX Designer,"Design Systems, User Research, Figma, Adobe XD","figma, ux design, product design, prototyping, advanced",Advanced,6 weeks,3.9,"This course builds real-world UI/UX Design skills including Design Systems, User Research, Figma, Adobe XD, ideal for aspiring UI/UX Designers."
Typography and Visual Design,edX,UI/UX Design,UI/UX Designer,"User Research, Adobe XD, Wireframing, Design Systems","prototyping, product design, ux design, figma, advanced",Advanced,12 weeks,4.3,"This course builds real-world UI/UX Design skills including User Research, Adobe XD, Wireframing, Design Systems, ideal for aspiring UI/UX Designers."
Typography and Visual Design - Part 2,Udemy,UI/UX Design,UI/UX Designer,"Adobe XD, Prototyping, Design Systems, User Research","ui design, product design, ux design, prototyping, beginner",Beginner,8 weeks,4.7,"A project-based beginner course teaching Adobe XD, Prototyping, Design Systems, User Research with real industry use cases."
Portfolio Building for Designers,Coursera,UI/UX Design,UI/UX Designer,"Adobe XD, Wireframing, User Research, Prototyping","ux design, product design, ui design, figma, beginner",Beginner,2 weeks,4.8,"This course builds real-world UI/UX Design skills including Adobe XD, Wireframing, User Research, Prototyping, ideal for aspiring UI/UX Designers."
Portfolio Building for Designers - Part 2,Udacity,UI/UX Design,UI/UX Designer,"Figma, User Research, Wireframing, Design Systems","product design, ui design, ux design, prototyping, intermediate",Intermediate,3 weeks,4.0,"A intermediate level course covering Figma, User Research, Wireframing, Design Systems for learners aiming to become a UI/UX Designer."
Business Analysis Fundamentals,Pluralsight,Business & Management,Business Analyst,"Communication, Agile, Project Management, Excel","business analysis, agile, project management, leadership, beginner",Beginner,2 weeks,4.2,"This course builds real-world Business & Management skills including Communication, Agile, Project Management, Excel, ideal for aspiring Business Analysts."
Business Analysis Fundamentals - Part 2,Coursera,Business & Management,Business Analyst,"Excel, Agile, Project Management, Communication","leadership, scrum, business analysis, project management, intermediate",Intermediate,2 weeks,4.0,"Hands-on Business & Management training focused on Excel, Agile, Project Management, Communication, designed for intermediate learners."
Agile and Scrum Masterclass,Udemy,Business & Management,Business Analyst,"Scrum, Business Analysis, Communication, Excel","business analysis, scrum, agile, leadership, intermediate",Intermediate,4 weeks,4.3,"A project-based intermediate course teaching Scrum, Business Analysis, Communication, Excel with real industry use cases."
Agile and Scrum Masterclass - Part 2,edX,Business & Management,Business Analyst,"Scrum, Excel, Agile, Business Analysis","leadership, scrum, business analysis, agile, advanced",Advanced,3 weeks,4.9,"A project-based advanced course teaching Scrum, Excel, Agile, Business Analysis with real industry use cases."
Project Management Professional Prep,LinkedIn Learning,Business & Management,Business Analyst,"Business Analysis, Communication, Excel, Project Management","scrum, business analysis, agile, project management, advanced",Advanced,2 weeks,3.9,"Learn Business Analysis, Communication, Excel, Project Management through practical projects in this advanced Business & Management course."
Project Management Professional Prep - Part 2,edX,Business & Management,Business Analyst,"Excel, Agile, Project Management, Business Analysis","business analysis, agile, leadership, scrum, beginner",Beginner,60 hours,4.3,"Learn Excel, Agile, Project Management, Business Analysis through practical projects in this beginner Business & Management course."
Excel for Business Analysts,Udemy,Business & Management,Business Analyst,"Communication, Scrum, Business Analysis, Agile","project management, leadership, business analysis, scrum, beginner",Beginner,2 weeks,4.0,"A beginner level course covering Communication, Scrum, Business Analysis, Agile for learners aiming to become a Business Analyst."
Excel for Business Analysts - Part 2,Udemy,Business & Management,Business Analyst,"Excel, Agile, Business Analysis, Scrum","scrum, leadership, project management, business analysis, intermediate",Intermediate,2 weeks,4.0,"Hands-on Business & Management training focused on Excel, Agile, Business Analysis, Scrum, designed for intermediate learners."
Leadership and Team Management,Pluralsight,Business & Management,Business Analyst,"Agile, Communication, Excel, Project Management","scrum, leadership, agile, project management, intermediate",Intermediate,4 weeks,4.0,"This course builds real-world Business & Management skills including Agile, Communication, Excel, Project Management, ideal for aspiring Business Analysts."
Leadership and Team Management - Part 2,Udacity,Business & Management,Business Analyst,"Communication, Scrum, Agile, Business Analysis","agile, business analysis, leadership, project management, advanced",Advanced,4 weeks,4.2,"A advanced level course covering Communication, Scrum, Agile, Business Analysis for learners aiming to become a Business Analyst."
Introduction to Product Management,LinkedIn Learning,Business & Management,Business Analyst,"Agile, Communication, Excel, Scrum","agile, leadership, project management, scrum, advanced",Advanced,4 weeks,4.5,"A project-based advanced course teaching Agile, Communication, Excel, Scrum with real industry use cases."
Introduction to Product Management - Part 2,Pluralsight,Business & Management,Business Analyst,"Scrum, Agile, Communication, Excel","agile, scrum, project management, business analysis, beginner",Beginner,12 weeks,4.5,"A beginner level course covering Scrum, Agile, Communication, Excel for learners aiming to become a Business Analyst."
Business Strategy Essentials,edX,Business & Management,Business Analyst,"Business Analysis, Project Management, Excel, Scrum","leadership, scrum, business analysis, agile, beginner",Beginner,60 hours,3.9,"A beginner level course covering Business Analysis, Project Management, Excel, Scrum for learners aiming to become a Business Analyst."
Business Strategy Essentials - Part 2,edX,Business & Management,Business Analyst,"Agile, Scrum, Excel, Communication","project management, scrum, leadership, agile, intermediate",Intermediate,40 hours,4.6,"This course builds real-world Business & Management skills including Agile, Scrum, Excel, Communication, ideal for aspiring Business Analysts."
Financial Analysis for Managers,Udemy,Business & Management,Business Analyst,"Business Analysis, Agile, Scrum, Project Management","agile, project management, business analysis, leadership, intermediate",Intermediate,12 weeks,4.2,"Hands-on Business & Management training focused on Business Analysis, Agile, Scrum, Project Management, designed for intermediate learners."
Financial Analysis for Managers - Part 2,LinkedIn Learning,Business & Management,Business Analyst,"Excel, Agile, Business Analysis, Scrum","scrum, project management, agile, leadership, advanced",Advanced,4 weeks,3.9,"This course builds real-world Business & Management skills including Excel, Agile, Business Analysis, Scrum, ideal for aspiring Business Analysts."
Digital Marketing Fundamentals,Coursera,Business & Management,Business Analyst,"Scrum, Project Management, Communication, Excel","agile, leadership, scrum, business analysis, advanced",Advanced,8 weeks,4.3,"A project-based advanced course teaching Scrum, Project Management, Communication, Excel with real industry use cases."
Digital Marketing Fundamentals - Part 2,Udemy,Business & Management,Business Analyst,"Communication, Project Management, Agile, Scrum","project management, business analysis, scrum, agile, beginner",Beginner,2 weeks,4.6,"Hands-on Business & Management training focused on Communication, Project Management, Agile, Scrum, designed for beginner learners."
Negotiation Skills for Professionals,edX,Business & Management,Business Analyst,"Business Analysis, Communication, Agile, Project Management","leadership, project management, agile, business analysis, beginner",Beginner,20 hours,4.0,"A beginner level course covering Business Analysis, Communication, Agile, Project Management for learners aiming to become a Business Analyst."
Negotiation Skills for Professionals - Part 2,LinkedIn Learning,Business & Management,Business Analyst,"Scrum, Communication, Excel, Business Analysis","agile, business analysis, project management, leadership, intermediate",Intermediate,30 hours,4.0,"A project-based intermediate course teaching Scrum, Communication, Excel, Business Analysis with real industry use cases."
Blockchain Fundamentals,Pluralsight,Blockchain,Blockchain Developer,"Cryptography, Ethereum, Solidity, Web3.js","crypto, blockchain, ethereum, smart contracts, beginner",Beginner,10 weeks,3.8,"Learn Cryptography, Ethereum, Solidity, Web3.js through practical projects in this beginner Blockchain course."
Blockchain Fundamentals - Part 2,Pluralsight,Blockchain,Blockchain Developer,"Ethereum, Smart Contracts, Web3.js, Cryptography","blockchain, smart contracts, crypto, web3, intermediate",Intermediate,40 hours,4.4,"Hands-on Blockchain training focused on Ethereum, Smart Contracts, Web3.js, Cryptography, designed for intermediate learners."
Solidity and Smart Contract Development,LinkedIn Learning,Blockchain,Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Cryptography","web3, smart contracts, ethereum, blockchain, intermediate",Intermediate,60 hours,3.7,"A intermediate level course covering Solidity, Ethereum, Smart Contracts, Cryptography for learners aiming to become a Blockchain Developer."
Solidity and Smart Contract Development - Part 2,LinkedIn Learning,Blockchain,Blockchain Developer,"Smart Contracts, Ethereum, Cryptography, Web3.js","crypto, blockchain, web3, smart contracts, advanced",Advanced,60 hours,4.2,"Learn Smart Contracts, Ethereum, Cryptography, Web3.js through practical projects in this advanced Blockchain course."
Ethereum Development Bootcamp,Udacity,Blockchain,Blockchain Developer,"Smart Contracts, Web3.js, Solidity, Cryptography","web3, ethereum, crypto, smart contracts, advanced",Advanced,40 hours,3.9,"This course builds real-world Blockchain skills including Smart Contracts, Web3.js, Solidity, Cryptography, ideal for aspiring Blockchain Developers."
Ethereum Development Bootcamp - Part 2,Udemy,Blockchain,Blockchain Developer,"Smart Contracts, Cryptography, Web3.js, Ethereum","ethereum, web3, crypto, blockchain, beginner",Beginner,3 weeks,3.9,"Learn Smart Contracts, Cryptography, Web3.js, Ethereum through practical projects in this beginner Blockchain course."
Web3.js for Beginners,edX,Blockchain,Blockchain Developer,"Web3.js, Ethereum, Solidity, Smart Contracts","blockchain, smart contracts, web3, ethereum, beginner",Beginner,4 weeks,4.9,"Hands-on Blockchain training focused on Web3.js, Ethereum, Solidity, Smart Contracts, designed for beginner learners."
Web3.js for Beginners - Part 2,edX,Blockchain,Blockchain Developer,"Cryptography, Smart Contracts, Solidity, Web3.js","ethereum, crypto, web3, smart contracts, intermediate",Intermediate,12 weeks,3.6,"This course builds real-world Blockchain skills including Cryptography, Smart Contracts, Solidity, Web3.js, ideal for aspiring Blockchain Developers."
Building Decentralized Applications,LinkedIn Learning,Blockchain,Blockchain Developer,"Web3.js, Ethereum, Solidity, Cryptography","blockchain, crypto, web3, smart contracts, intermediate",Intermediate,60 hours,4.7,"A project-based intermediate course teaching Web3.js, Ethereum, Solidity, Cryptography with real industry use cases."
Building Decentralized Applications - Part 2,Pluralsight,Blockchain,Blockchain Developer,"Web3.js, Smart Contracts, Cryptography, Solidity","blockchain, ethereum, crypto, web3, advanced",Advanced,10 weeks,4.6,"Learn Web3.js, Smart Contracts, Cryptography, Solidity through practical projects in this advanced Blockchain course."
Introduction to Cryptocurrency,Coursera,Blockchain,Blockchain Developer,"Web3.js, Solidity, Smart Contracts, Cryptography","smart contracts, crypto, blockchain, web3, advanced",Advanced,30 hours,4.2,"A project-based advanced course teaching Web3.js, Solidity, Smart Contracts, Cryptography with real industry use cases."
Introduction to Cryptocurrency - Part 2,edX,Blockchain,Blockchain Developer,"Cryptography, Solidity, Web3.js, Smart Contracts","ethereum, smart contracts, web3, crypto, beginner",Beginner,30 hours,3.9,"Hands-on Blockchain training focused on Cryptography, Solidity, Web3.js, Smart Contracts, designed for beginner learners."
NFT Development Masterclass,Udacity,Blockchain,Blockchain Developer,"Cryptography, Solidity, Web3.js, Smart Contracts","web3, smart contracts, crypto, ethereum, beginner",Beginner,30 hours,4.4,"Hands-on Blockchain training focused on Cryptography, Solidity, Web3.js, Smart Contracts, designed for beginner learners."
NFT Development Masterclass - Part 2,Udemy,Blockchain,Blockchain Developer,"Smart Contracts, Cryptography, Solidity, Ethereum","crypto, smart contracts, ethereum, web3, intermediate",Intermediate,30 hours,4.7,"A project-based intermediate course teaching Smart Contracts, Cryptography, Solidity, Ethereum with real industry use cases."
Blockchain Security Basics,Udacity,Blockchain,Blockchain Developer,"Cryptography, Smart Contracts, Ethereum, Solidity","smart contracts, crypto, ethereum, blockchain, intermediate",Intermediate,60 hours,4.4,"This course builds real-world Blockchain skills including Cryptography, Smart Contracts, Ethereum, Solidity, ideal for aspiring Blockchain Developers."
Blockchain Security Basics - Part 2,Coursera,Blockchain,Blockchain Developer,"Cryptography, Web3.js, Ethereum, Solidity","blockchain, ethereum, crypto, web3, advanced",Advanced,6 weeks,4.7,"Hands-on Blockchain training focused on Cryptography, Web3.js, Ethereum, Solidity, designed for advanced learners."
DeFi Fundamentals,Coursera,Blockchain,Blockchain Developer,"Cryptography, Solidity, Web3.js, Smart Contracts","ethereum, smart contracts, web3, blockchain, advanced",Advanced,12 weeks,4.5,"This course builds real-world Blockchain skills including Cryptography, Solidity, Web3.js, Smart Contracts, ideal for aspiring Blockchain Developers."
DeFi Fundamentals - Part 2,LinkedIn Learning,Blockchain,Blockchain Developer,"Cryptography, Web3.js, Smart Contracts, Solidity","web3, crypto, smart contracts, ethereum, beginner",Beginner,10 weeks,4.3,"This course builds real-world Blockchain skills including Cryptography, Web3.js, Smart Contracts, Solidity, ideal for aspiring Blockchain Developers."
Smart Contract Auditing,Udemy,Blockchain,Blockchain Developer,"Web3.js, Smart Contracts, Cryptography, Ethereum","smart contracts, ethereum, blockchain, crypto, beginner",Beginner,6 weeks,4.3,"Learn Web3.js, Smart Contracts, Cryptography, Ethereum through practical projects in this beginner Blockchain course."
Smart Contract Auditing - Part 2,edX,Blockchain,Blockchain Developer,"Smart Contracts, Ethereum, Cryptography, Web3.js","smart contracts, ethereum, web3, crypto, intermediate",Intermediate,60 hours,3.8,"Learn Smart Contracts, Ethereum, Cryptography, Web3.js through practical projects in this intermediate Blockchain course."
Complete Unity Game Development,LinkedIn Learning,Game Development,Game Developer,"Game Design, C++, Unreal Engine, Unity","unreal engine, game development, unity, game design, beginner",Beginner,60 hours,4.8,"Learn Game Design, C++, Unreal Engine, Unity through practical projects in this beginner Game Development course."
Complete Unity Game Development - Part 2,edX,Game Development,Game Developer,"C++, Game Design, C#, Unity","programming, unreal engine, game design, unity, intermediate",Intermediate,40 hours,3.7,"Hands-on Game Development training focused on C++, Game Design, C#, Unity, designed for intermediate learners."
Unreal Engine for Beginners,Udemy,Game Development,Game Developer,"C#, Unity, C++, Unreal Engine","unity, game development, game design, programming, intermediate",Intermediate,3 weeks,4.5,"Learn C#, Unity, C++, Unreal Engine through practical projects in this intermediate Game Development course."
Unreal Engine for Beginners - Part 2,Pluralsight,Game Development,Game Developer,"C#, Unity, C++, Game Design","game design, programming, unreal engine, game development, advanced",Advanced,60 hours,4.0,"Learn C#, Unity, C++, Game Design through practical projects in this advanced Game Development course."
C# Programming for Game Developers,Coursera,Game Development,Game Developer,"Unity, 3D Modeling, C#, Unreal Engine","game development, unity, game design, programming, advanced",Advanced,12 weeks,4.9,"A advanced level course covering Unity, 3D Modeling, C#, Unreal Engine for learners aiming to become a Game Developer."
C# Programming for Game Developers - Part 2,Udacity,Game Development,Game Developer,"C#, Unreal Engine, Unity, Game Design","unreal engine, game development, unity, programming, beginner",Beginner,30 hours,4.9,"This course builds real-world Game Development skills including C#, Unreal Engine, Unity, Game Design, ideal for aspiring Game Developers."
2D Game Design Fundamentals,LinkedIn Learning,Game Development,Game Developer,"Game Design, C#, C++, 3D Modeling","unity, game development, programming, game design, beginner",Beginner,4 weeks,4.4,"This course builds real-world Game Development skills including Game Design, C#, C++, 3D Modeling, ideal for aspiring Game Developers."
2D Game Design Fundamentals - Part 2,Coursera,Game Development,Game Developer,"C++, Unreal Engine, 3D Modeling, Game Design","unity, programming, unreal engine, game design, intermediate",Intermediate,3 weeks,4.3,"This course builds real-world Game Development skills including C++, Unreal Engine, 3D Modeling, Game Design, ideal for aspiring Game Developers."
3D Game Development with Unity,Udacity,Game Development,Game Developer,"C++, Unity, C#, 3D Modeling","game design, unreal engine, game development, programming, intermediate",Intermediate,20 hours,4.1,"Learn C++, Unity, C#, 3D Modeling through practical projects in this intermediate Game Development course."
3D Game Development with Unity - Part 2,edX,Game Development,Game Developer,"Unreal Engine, C++, Unity, C#","unreal engine, unity, game development, programming, advanced",Advanced,12 weeks,4.0,"This course builds real-world Game Development skills including Unreal Engine, C++, Unity, C#, ideal for aspiring Game Developers."
Game Physics and Animation,Pluralsight,Game Development,Game Developer,"3D Modeling, Unreal Engine, Unity, C++","unreal engine, programming, game design, game development, advanced",Advanced,20 hours,4.8,"Hands-on Game Development training focused on 3D Modeling, Unreal Engine, Unity, C++, designed for advanced learners."
Game Physics and Animation - Part 2,Udemy,Game Development,Game Developer,"Game Design, 3D Modeling, Unreal Engine, C#","programming, game design, unreal engine, game development, beginner",Beginner,40 hours,4.5,"Hands-on Game Development training focused on Game Design, 3D Modeling, Unreal Engine, C#, designed for beginner learners."
Introduction to Game Design,Coursera,Game Development,Game Developer,"3D Modeling, Game Design, Unreal Engine, Unity","programming, game development, game design, unreal engine, beginner",Beginner,4 weeks,4.3,"A project-based beginner course teaching 3D Modeling, Game Design, Unreal Engine, Unity with real industry use cases."
Introduction to Game Design - Part 2,edX,Game Development,Game Developer,"3D Modeling, Game Design, Unity, Unreal Engine","unity, game design, game development, programming, intermediate",Intermediate,30 hours,4.2,"A intermediate level course covering 3D Modeling, Game Design, Unity, Unreal Engine for learners aiming to become a Game Developer."
Building Your First Mobile Game,Udacity,Game Development,Game Developer,"Game Design, 3D Modeling, Unity, Unreal Engine","game design, unreal engine, programming, game development, intermediate",Intermediate,2 weeks,3.9,"This course builds real-world Game Development skills including Game Design, 3D Modeling, Unity, Unreal Engine, ideal for aspiring Game Developers."
Building Your First Mobile Game - Part 2,Pluralsight,Game Development,Game Developer,"C#, 3D Modeling, Unity, Game Design","game design, unreal engine, programming, game development, advanced",Advanced,3 weeks,4.9,"A project-based advanced course teaching C#, 3D Modeling, Unity, Game Design with real industry use cases."
Multiplayer Game Development,Udacity,Game Development,Game Developer,"Unity, Unreal Engine, Game Design, C++","unity, game design, programming, unreal engine, advanced",Advanced,12 weeks,4.7,"This course builds real-world Game Development skills including Unity, Unreal Engine, Game Design, C++, ideal for aspiring Game Developers."
Multiplayer Game Development - Part 2,Udacity,Game Development,Game Developer,"Unity, 3D Modeling, C#, Unreal Engine","unreal engine, game development, game design, unity, beginner",Beginner,6 weeks,3.8,"A project-based beginner course teaching Unity, 3D Modeling, C#, Unreal Engine with real industry use cases."
